# gauss_dx.dat
# This file is identical to gauss.dat, except that a column has been
#   added with a tiny energy uncertainty (dE). This file can be used to
#   confirm that a program that takes x errors into consideration gives
#   the same result as a normal least squares fit in the limit of small
#   x uncertainties
#
# E	dE	Count	Uncertainty
1171	0.001	11	3.31662479
1171.05	0.001	6	2.449489743
1171.1	0.001	16	4
1171.15	0.001	11	3.31662479
1171.2	0.001	8	2.828427125
1171.25	0.001	10	3.16227766
1171.3	0.001	14	3.741657387
1171.35	0.001	11	3.31662479
1171.4	0.001	9	3
1171.45	0.001	11	3.31662479
1171.5	0.001	13	3.605551275
1171.55	0.001	12	3.464101615
1171.6	0.001	11	3.31662479
1171.65	0.001	10	3.16227766
1171.7	0.001	10	3.16227766
1171.75	0.001	11	3.31662479
1171.8	0.001	14	3.741657387
1171.85	0.001	6	2.449489743
1171.9	0.001	5	2.236067977
1171.95	0.001	11	3.31662479
1172	0.001	14	3.741657387
1172.05	0.001	9	3
1172.1	0.001	6	2.449489743
1172.15	0.001	13	3.605551275
1172.2	0.001	12	3.464101615
1172.25	0.001	11	3.31662479
1172.3	0.001	8	2.828427125
1172.35	0.001	3	1.732050808
1172.4	0.001	9	3
1172.45	0.001	12	3.464101615
1172.5	0.001	17	4.123105626
1172.55	0.001	9	3
1172.6	0.001	12	3.464101615
1172.65	0.001	18	4.242640687
1172.7	0.001	26	5.099019514
1172.75	0.001	38	6.164414003
1172.8	0.001	55	7.416198487
1172.85	0.001	80	8.94427191
1172.9	0.001	105	10.24695077
1172.95	0.001	197	14.03566885
1173	0.001	217	14.73091986
1173.05	0.001	302	17.3781472
1173.1	0.001	361	19
1173.15	0.001	417	20.42057786
1173.2	0.001	485	22.02271555
1173.25	0.001	502	22.4053565
1173.3	0.001	446	21.11871208
1173.35	0.001	415	20.37154879
1173.4	0.001	333	18.24828759
1173.45	0.001	247	15.71623365
1173.5	0.001	209	14.45683229
1173.55	0.001	158	12.56980509
1173.6	0.001	100	10
1173.65	0.001	62	7.874007874
1173.7	0.001	36	6
1173.75	0.001	38	6.164414003
1173.8	0.001	14	3.741657387
1173.85	0.001	11	3.31662479
1173.9	0.001	11	3.31662479
1173.95	0.001	10	3.16227766
1174	0.001	13	3.605551275
1174.05	0.001	15	3.872983346
1174.1	0.001	12	3.464101615
1174.15	0.001	8	2.828427125
1174.2	0.001	9	3
1174.25	0.001	8	2.828427125
1174.3	0.001	10	3.16227766
1174.35	0.001	7	2.645751311
1174.4	0.001	12	3.464101615
1174.45	0.001	6	2.449489743
1174.5	0.001	11	3.31662479
1174.55	0.001	6	2.449489743
1174.6	0.001	13	3.605551275
1174.65	0.001	15	3.872983346
1174.7	0.001	16	4
1174.75	0.001	13	3.605551275
1174.8	0.001	11	3.31662479
1174.85	0.001	8	2.828427125
1174.9	0.001	9	3
1174.95	0.001	12	3.464101615
1175	0.001	3	1.732050808
1175.05	0.001	8	2.828427125
1175.1	0.001	12	3.464101615
1175.15	0.001	4	2
1175.2	0.001	5	2.236067977
1175.25	0.001	11	3.31662479
1175.3	0.001	12	3.464101615
1175.35	0.001	7	2.645751311
1175.4	0.001	11	3.31662479
1175.45	0.001	9	3
1175.5	0.001	12	3.464101615
1175.55	0.001	14	3.741657387
1175.6	0.001	12	3.464101615
1175.65	0.001	10	3.16227766
1175.7	0.001	10	3.16227766
1175.75	0.001	6	2.449489743
1175.8	0.001	9	3
1175.85	0.001	7	2.645751311
1175.9	0.001	13	3.605551275
1175.95	0.001	10	3.16227766
